JOJI 88 UNIVERSAL METHOD TABLE AND MASTER SEAT DISCOVERY DRAFT
Created: 2026-05-16
Status: DISCOVERY / PLACEMENT DRAFT ONLY
Authority status: NOT ACTIVE DOCTRINE; NOT CURRENT TRUTH; NOT FINAL PASS
Work root: C:\Users\13527\Desktop\Clean Milk not-BLOAT
Source digest: C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECOVERED_WHALE_88_METHOD_STACK_DIGEST_20260516_184010.txt
Source digest SHA256: 5BA05CFC4B31FE72962DA47BDA97F8CF58D59088E1099D8219D60EFE6B377846
Current truth index read first: C:\Users\13527\Desktop\Clean Milk not-BLOAT\CURRENT_TRUTH_INDEX.txt
Current patch ID observed in CURRENT_TRUTH_INDEX.txt: CLEAN_SEED_PATCH_COMMAND_MAP_HOUSEKEEPING_LOCK

READING KEY
- EVIDENCE = directly stated in the named source file or directly observed in the inspected file lane.
- INFERENCE = a provisional working judgment from the evidence, made for discovery only.
- UNKNOWN = not established in this pass.
- Row fields sourced directly from the digest are EVIDENCE when copied from the digest.
- Row fields that classify, relate, score, or propose are INFERENCE unless explicitly marked UNKNOWN.

============================================================
SECTION 1 - SOURCE INTAKE

EVIDENCE:
- Source file exists: YES.
- Source path: C:\Users\13527\Desktop\Clean Milk not-BLOAT\PROOF_HISTORY\RECOVERED_WHALE_88_METHOD_STACK_DIGEST_20260516_184010.txt
- Source SHA256: 5BA05CFC4B31FE72962DA47BDA97F8CF58D59088E1099D8219D60EFE6B377846
- Source says numbered heading count is 88: YES.
- Group 1 present: Real-World Method Lenses, count 51.
- Group 2 present: Corrected Station Order, count 13.
- Group 3 present: Core Preservation / Control Concepts, count 10.
- Group 4 present: Minimum Operating Anchors, count 8.
- Group 5 present: Small Front-Door Pieces, count 6.
- Source status is proof-history-only: YES.
- Source install status is NOT ACTIVE DOCTRINE.
- Source boundary says it does not edit ACTIVE_GUIDES or CURRENT_TRUTH_INDEX and does not authorize cleanup, deletion, movement, overwrite, folder creation, promotion, or final PASS.
- ACTIVE_GUIDES edit during this task: NO.
- CURRENT_TRUTH_INDEX edit during this task: NO.
- Cleanup during this task: NO.
- Git action during this task: NO.
- SOURCE_PARSE_GAP: NO.

INFERENCE:
- The source digest is suitable as an ore body for discovery because it is bounded, counted, and self-declared as proof-history-only rather than active truth.

UNKNOWN:
- Whether the separate larger "180-item file" mentioned by the digest still exists was not inspected because it was not needed for the approved active target.

============================================================
SECTION 2 - SOURCE 88 METHOD TABLE

FIELD ORDER FOR EVERY ROW
ID | Source group | Source heading | Source line reference if available | Clean Seed use from source | Rule extracted from source | Plain meaning | Problem it helps solve | What it helps find | Likely station | Candidate role | Evidence needed | What it protects | Risk if missing | Risk if overused | Possible parent | Possible children | Possible cousins | Possible bridge links | Master-seat candidate? | Reason | Notes
A047 | Law / investigation | Legal chain of title | n/a | n/a | n/a | Trace legitimate ownership or authority through transfers. | False ownership. | Valid title lineage. | AUTHORITY / REVIEW | authority method | Transfer chain. | Legitimate control. | Unauthorized claim. | Legalism where simple custody suffices. | S003 | none | A084 | S066 | maybe | Useful authority cousin to custody. | INFERENCE.
A048 | Aviation / safety | Challenge-response checklist | n/a | n/a | n/a | One person calls, another confirms. | Silent missed step. | Shared transition readiness. | REVIEW / HANDOFF | risk method | Recorded call/response. | High-risk moves. | Omission. | Ceremony. | S017 | none | A049 | A050 | no | Child checklist method. | INFERENCE.
A049 | Aviation / safety | Readback | n/a | n/a | n/a | Repeat critical instruction back to confirm. | Misheard command. | Shared understanding. | REVIEW / HANDOFF | bridge method | Readback confirmation. | Communication integrity. | Wrong action. | Slow routine chatter. | A050 | none | A048 | S062 | no | Communication child. | INFERENCE.
A050 | Aviation / safety | Closed-loop communication | n/a | n/a | n/a | Send, acknowledge, complete, confirm. | Lost orders. | Completed handoff. | REVIEW / HANDOFF | bridge method | Loop completion record. | Continuity. | Silent drop. | Formalism. | S062 | A049 | A034 | S063 | maybe | Strong handoff bridge. | INFERENCE.
A051 | Aviation / safety | Crew resource management | n/a | n/a | n/a | Use the whole team to surface risk and prevent authority traps. | Deference and tunnel vision. | Hidden concern. | REVIEW | authority method | Participation evidence. | Human safety. | Silent error. | Over-discussion. | S051 | none | S016 | A086 | maybe | Important human authority lens. | INFERENCE.
A052 | Aviation / safety | Swiss cheese model | n/a | n/a | n/a | Harm passes through aligned holes in multiple defenses. | One-villain thinking. | Barrier gaps. | REVIEW | risk method | Barrier map. | System safety. | Repeated latent risk. | Vague storytelling. | A053 | none | S021 | S020 | no | Diagnostic risk lens. | INFERENCE.
A053 | Aviation / safety | Barrier analysis | n/a | n/a | n/a | Identify what should prevent harm and whether it held. | Invisible control gaps. | Missing or failed barrier. | JUDGE / REVIEW | risk method | Barrier inventory. | Prevention. | Unsafe path. | Checklist explosion. | S023 | none | A052 | S069 | maybe | Good risk parent. | INFERENCE.
A054 | Aviation / safety | Safety case | n/a | n/a | n/a | Argue that a system is acceptably safe using structured evidence. | Safety claims without proof. | Safety argument. | REVIEW / PROMOTE | evidence method | Claim-argument-evidence package. | Safe release. | Unsupported assurance. | Heavyweight bureaucracy. | S018 | none | A055 | S032 | maybe | Strong promotion evidence child. | INFERENCE.
A055 | Aviation / safety | Assurance case | n/a | n/a | n/a | Argue that a system property is sufficiently supported by evidence. | Claims not tied to evidence. | Structured confidence. | REVIEW | evidence method | Claim-argument-evidence graph. | Trust. | Hand-wavy confidence. | Document theater. | S018 | none | A054 | S019 | maybe | Broad evidence bridge. | INFERENCE.
A056 | Aviation / safety | Bow-tie risk analysis | n/a | n/a | n/a | Map threats, top event, consequences, and barriers. | Risk story without structure. | Prevention and mitigation gaps. | JUDGE | risk method | Bow-tie diagram. | Risk clarity. | Blind controls. | Simplistic diagrams. | S020 | none | A053 | S023 | no | Risk child. | INFERENCE.
A057 | Aviation / safety | Pre-mortem | n/a | n/a | n/a | Imagine failure in advance and ask why it happened. | Optimism bias. | Plausible future failure. | JUDGE / BLOCK | risk method | Failure scenario list. | Prevention. | Preventable surprise. | Doom spirals. | S042 | none | S012 | S069 | maybe | Strong early-risk lens. | INFERENCE.
A058 | Manufacturing / quality | Poka-yoke | n/a | n/a | n/a | Design so common mistakes are hard to make. | Reliance on vigilance. | Error-proofing opportunity. | PROMOTE / REVIEW | risk method | Error-proof control. | Safe operation. | Repeated slips. | Overconstraint. | S023 | none | A053 | S074 | maybe | Good design child. | INFERENCE.
A059 | Manufacturing / quality | Kaizen | n/a | n/a | n/a | Improve continuously in small reviewed steps. | Stagnation. | Small improvement. | CONTINUE | parent method | Improvement log. | Adaptation. | Decay. | Endless tinkering. | S073 | none | A068 | S082 | no | Parent for growth, not authority. | INFERENCE.
A060 | Manufacturing / quality | Value-stream mapping | n/a | n/a | n/a | Map work from input to outcome to see waste and delay. | Invisible flow waste. | Bottleneck. | SORT / REVIEW | bridge method | Flow map. | Throughput. | Slow process. | Lean theater. | S024 | none | A096 | S015 | maybe | Good bridge to station design. | INFERENCE.
A061 | Manufacturing / quality | Gemba walk | n/a | n/a | n/a | Inspect the work where it actually happens. | Abstract process fantasy. | Real workflow. | CAPTURE / REVIEW | evidence method | Direct observation. | Ground truth. | Detached rules. | Anecdote bias. | S008 | none | A097 | S068 | no | Evidence lens. | INFERENCE.
A062 | Manufacturing / quality | Control charts | n/a | n/a | n/a | Visualize process variation over time. | Unseen drift. | Special-cause variation. | CONTINUE | evidence method | Charted metric. | Stability. | Late detection. | Chart worship. | S028 | none | A030 | S073 | no | Child evidence method. | INFERENCE.
A063 | Manufacturing / quality | Pareto analysis | n/a | n/a | n/a | Separate vital few causes from trivial many. | Diluted effort. | Highest-leverage contributors. | JUDGE | child method | Frequency or impact data. | Focus. | Low-value work. | Ignoring rare catastrophic issues. | S027 | none | A089 | S053 | no | Prioritization child. | INFERENCE.
A064 | Military / strategy | War-gaming | n/a | n/a | n/a | Simulate adversarial interaction before action. | Naive plan. | Opponent response. | JUDGE | optional special lens | Scenario script. | Strategic robustness. | Surprise. | Fantasy planning. | A065 | none | S012 | S042 | no | Useful when adversary matters. | INFERENCE.
A065 | Military / strategy | Scenario planning | n/a | n/a | n/a | Explore several plausible futures. | Single-future fixation. | Decision sensitivity. | JUDGE / REVIEW | optional special lens | Scenario set. | Preparedness. | Brittle plans. | Speculation bloat. | A032 | A064 | A073 | S074 | no | Optional future lens. | INFERENCE.
A066 | Military / strategy | Kill-chain analysis | n/a | n/a | n/a | Break an attack or failure sequence into stages. | Blunt defense. | Interruptible stage. | JUDGE / BLOCK | risk method | Stage map. | Prevention. | Missed stop point. | Militarized framing everywhere. | S042 | none | A067 | S023 | no | Risk child. | INFERENCE.
A067 | Military / strategy | Attack tree analysis | n/a | n/a | n/a | Map ways an attacker could achieve a goal. | Hidden abuse routes. | Attack paths. | JUDGE / BLOCK | risk method | Attack tree. | Threat coverage. | Exploit gap. | Overfitting to known attacks. | S042 | none | S021 | S012 | no | Risk child. | INFERENCE.
A068 | Military / strategy | After-action review | n/a | n/a | n/a | Compare intended, actual, why, and next time. | Uncaptured learning. | Actionable lesson. | CONTINUE | recovery method | AAR note. | Learning. | Repeat errors. | Ritual without change. | S073 | none | S049 | S082 | maybe | Strong loop child. | INFERENCE.
A069 | Military / strategy | Commander's intent | n/a | n/a | n/a | State the purpose and desired end state, not every move. | Agents obeying words but missing aim. | Mission logic. | AUTHORITY | authority method | Intent statement. | Coherent adaptation. | Local optimization. | Vague slogans. | S016 | none | A087 | S001 | maybe | Useful authority bridge. | INFERENCE.
A070 | Military / strategy | Escalation ladder | n/a | n/a | n/a | Define graded responses before crisis. | Ad hoc overreaction. | Proper response tier. | BLOCK / PROMOTE | risk method | Ladder criteria. | Proportional action. | Either underreaction or overreaction. | Bureaucratic delay. | S069 | none | A057 | S063 | maybe | Good child of inhibition. | INFERENCE.
A071 | Decision science / reasoning | Bayesian updating | n/a | n/a | n/a | Revise belief as evidence arrives. | Static beliefs. | Posterior confidence. | JUDGE / CONTINUE | parent method | Prior, likelihood, update. | Learning. | Ignoring new evidence. | False numerical precision. | S008 | none | A021 | S073 | maybe | Strong reasoning parent. | INFERENCE.
A072 | Decision science / reasoning | Abductive reasoning | n/a | n/a | n/a | Infer the best available explanation. | Need to explain sparse clues. | Most plausible cause. | JUDGE | optional special lens | Competing explanation set. | Diagnosis. | No working hypothesis. | Confusing plausibility with proof. | S013 | none | A001 | S058 | no | Useful but must stay bounded by evidence. | INFERENCE.
A073 | Decision science / reasoning | Counterfactual analysis | n/a | n/a | n/a | Ask what would differ if a factor changed. | Weak causal reasoning. | Causal leverage. | JUDGE / REVIEW | evidence method | Counterfactual scenario. | Cause clarity. | Bad repair. | Speculation. | A032 | none | S021 | S047 | no | Helpful child. | INFERENCE.
A074 | Decision science / reasoning | Decision tree | n/a | n/a | n/a | Lay out choices, outcomes, and branches. | Hidden consequence chain. | Decision path. | JUDGE | bridge method | Branch map. | Transparency. | Ad hoc choice. | Oversimplified branches. | S058 | none | A075 | S063 | maybe | Good bridge from verdict to action. | INFERENCE.
A075 | Decision science / reasoning | Decision matrix | n/a | n/a | n/a | Compare options against stated criteria. | Vague choice. | Best fit option. | JUDGE | bridge method | Criteria and scoring. | Decision clarity. | Politics by intuition. | False objectivity. | S058 | A076 | A074 | S063 | maybe | Useful bridge, not root control. | INFERENCE.
A076 | Decision science / reasoning | Weighted scoring | n/a | n/a | n/a | Give criteria relative importance. | All factors treated equal. | Weighted tradeoff. | JUDGE | child method | Weights and ratings. | Decision transparency. | Misprioritized choice. | Gaming scores. | A075 | none | A089 | S074 | no | Child decision aid. | INFERENCE.
A077 | Decision science / reasoning | Reversibility test | n/a | n/a | n/a | Prefer reversible moves when uncertainty is high. | Irreversible commitment too early. | Door type. | PROMOTE / BLOCK | master seat candidate | Reversibility assessment. | Safe action. | Unrecoverable harm. | Chronic hesitation. | S080 | none | A010,A019 | S069 | yes | Strong action-boundary rule under uncertainty. | INFERENCE.
A078 | Decision science / reasoning | Minimum viable test | n/a | n/a | n/a | Use the smallest test that answers the question. | Oversized experiments. | Enough evidence. | JUDGE | child method | Minimal test design. | Efficiency. | Slow learning. | Under-testing. | S008 | none | A079 | S074 | no | Useful bloat-resistant child. | INFERENCE.
A079 | Decision science / reasoning | Pilot program | n/a | n/a | n/a | Try a bounded live version before wide rollout. | Scaling unproven ideas. | Field behavior. | PROMOTE / REVIEW | risk method | Pilot plan and result. | Safe growth. | Broad failure. | Pilot purgatory. | A078 | none | A009 | S045 | maybe | Good growth child. | INFERENCE.
A080 | Knowledge organization | Taxonomy building | n/a | n/a | n/a | Define categories so things can be consistently placed. | Ad hoc filing. | Stable categories. | SORT / PLACE | bridge method | Taxonomy with examples. | Findability. | Misfiled ideas. | Taxonomy bloat. | S036 | none | S037 | S059 | maybe | Placement bridge. | INFERENCE.
A081 | Knowledge organization | Concept mapping | n/a | n/a | n/a | Show how ideas relate in a human-readable map. | Hidden conceptual structure. | Relationships. | SORT | bridge method | Concept map. | Understanding. | Lost links. | Pretty diagrams without use. | S037 | none | A082 | S068 | no | Helpful bridge. | INFERENCE.
A082 | Knowledge organization | Dependency graph | n/a | n/a | n/a | Show what must come before what. | Wrong order. | Precedence. | REVIEW / CONTINUE | bridge method | Dependency graph. | Safe sequencing. | Step inversion. | Graph overengineering. | S077 | none | A096 | S015 | yes | Directly answers master-order problem. | INFERENCE.
A083 | Knowledge organization | Data lineage | n/a | n/a | n/a | Trace how data changed across steps. | Unknown transformation history. | Origin-to-output path. | SAVE / REVIEW | evidence method | Lineage record. | Provenance. | Untrusted derived data. | Heavy metadata. | S068 | none | A084 | S029 | maybe | Strong evidence child. | INFERENCE.
A084 | Knowledge organization | Provenance | n/a | n/a | n/a | Record origin, derivation, and custody of an item. | Contextless artifacts. | Where it came from. | CAPTURE / SAVE / SEAL | master seat candidate | Provenance record. | Source truth. | False authority. | Metadata overhead. | S065 | A083 | S003 | S068 | yes | Foundational bridge between custody and context. | INFERENCE.
A085 | Knowledge organization | Tombstone register | n/a | n/a | n/a | Record that an item existed and what happened to it without erasing memory. | Vanishing history. | Removed-item trace. | SAVE / PARK | evidence method | Tombstone entry. | Historical integrity. | Invisible deletion. | Accumulated dead records. | S034 | none | A095 | S072 | maybe | Useful child of no hidden deletion. | INFERENCE.
A086 | Human factors / cognition | Cognitive bias checklist | n/a | n/a | n/a | Check for common thinking traps before verdict. | Human blind spots. | Bias pressure. | JUDGE / REVIEW | optional special lens | Checklist use. | Judgment quality. | Preventable error. | Performative self-doubt. | S051 | none | A001 | S058 | no | Optional lens. | INFERENCE.
A087 | Project / workflow control | RACI matrix | n/a | n/a | n/a | Clarify responsible, accountable, consulted, informed roles. | Role ambiguity. | Ownership. | AUTHORITY / REVIEW | authority method | RACI chart. | Clean handoff. | Hidden gaps. | Bureaucratic sprawl. | S066 | none | A069 | S067 | maybe | Strong role-clarity child. | INFERENCE.
A088 | Project / workflow control | Decision log | n/a | n/a | n/a | Record what was decided, why, and by whom. | Re-litigated or hidden decisions. | Verdict history. | SAVE / SEAL | evidence method | Decision entry. | Accountability. | Memory drift. | Log without action. | S029 | none | A091 | S063 | yes | Makes verdict flow visible and inspectable. | INFERENCE.
A089 | Project / workflow control | Risk register | n/a | n/a | n/a | Track known risks, owners, and treatments over time. | Risks vanish after discussion. | Open risk state. | REVIEW / CONTINUE | risk method | Register entries. | Ongoing control. | Repeated surprise. | Register rot. | S020 | none | A063 | S073 | maybe | Strong ongoing child. | INFERENCE.
A090 | Project / workflow control | Assumption log | n/a | n/a | n/a | Record assumptions so they can be tested or retired. | Hidden premises. | What is only assumed. | JUDGE / REVIEW | evidence method | Assumption entries. | Reasoning clarity. | False certainty. | Logging every trivial premise. | S001 | none | A032 | S058 | maybe | Good bridge from reasoning to review. | INFERENCE.
A091 | Project / workflow control | Architecture decision record | n/a | n/a | n/a | Capture durable design decisions and rationale. | Lost design memory. | Why structure exists. | SAVE / SEAL | evidence method | ADR entry. | Continuity. | Repeating old debates. | Stale records. | S018 | none | A088 | S019 | maybe | Good evidence child. | INFERENCE.
A092 | Project / workflow control | Parking lot review | n/a | n/a | n/a | Revisit deferred items deliberately. | Parking becomes forgetting. | Still-relevant parked work. | CONTINUE | station support method | Parking review cadence. | Attention hygiene. | Valuable items rot. | Reviving dead ideas too often. | S064 | none | A089 | S074 | no | Helpful downstream support. | INFERENCE.
A093 | Project / workflow control | Least privilege | n/a | n/a | n/a | Give only the access needed for the task. | Broad authority blast radius. | Excess permissions. | AUTHORITY / BLOCK | authority method | Permission map. | Boundary safety. | Overreach. | Workflow friction. | S041 | none | A094 | S066 | yes | Strong authority-control primitive. | INFERENCE.
A094 | Project / workflow control | Access-control review | n/a | n/a | n/a | Recheck who can do what. | Stale permissions. | Unauthorized capability. | REVIEW | authority method | Access review. | Boundary integrity. | Hidden bosses. | Audit fatigue. | A093 | none | S030 | S073 | maybe | Important child. | INFERENCE.
A095 | Knowledge organization | Retired-item register | n/a | n/a | n/a | Record intentionally retired items and why. | Old items resurface without context. | Retired state. | PARK / SAVE | evidence method | Retirement entry. | Memory and clarity. | Zombie ideas. | Too much paperwork. | S034 | none | A085 | S072 | maybe | Useful child. | INFERENCE.
A096 | Knowledge organization | Process map | n/a | n/a | n/a | Show the workflow steps and decision points. | Invisible process. | Actual route. | SORT / REVIEW | bridge method | Process diagram. | Shared understanding. | Mis-sequencing. | Diagram drift. | S015 | none | A082 | S077 | maybe | Strong station bridge. | INFERENCE.
A097 | Human factors / product | User journey mapping | n/a | n/a | n/a | See the system from the user's path. | Builder-centric design. | User friction. | PUBLIC / FRONT DOOR | public/front-door method | Journey map. | Adoption. | Good system, poor entry. | Overfitting to one persona. | S083 | none | A098 | S074 | no | Public support. | INFERENCE.
A098 | Human factors / product | Service blueprinting | n/a | n/a | n/a | Connect user-facing steps to backstage operations. | Front-door promises disconnected from backend reality. | Handoff gaps. | PUBLIC / FRONT DOOR | bridge method | Blueprint. | Product coherence. | Broken experience. | Over-documentation. | A097 | none | A096 | S083 | no | Helpful bridge to product clarity. | INFERENCE.
A099 | Human factors / cognition | Fatigue check | n/a | n/a | n/a | Recognize degraded performance under exhaustion. | Human error. | Fatigue risk. | JUDGE / BLOCK | risk method | Fatigue signal. | Safety. | Preventable mistakes. | Overblocking by self-report. | S051 | none | A086 | S069 | no | Situational lens. | INFERENCE.
A100 | Human factors / cognition | Operator error analysis | n/a | n/a | n/a | Examine how system design invites mistakes. | Blaming people for bad systems. | Error pathway. | REVIEW | risk method | Error analysis. | Better design. | Repeated human failure. | Excusing misconduct. | S051 | none | A058 | S020 | no | Recovery/risk child. | INFERENCE.
A101 | Human factors / cognition | Training gap analysis | n/a | n/a | n/a | Compare needed skill to actual preparation. | Failures caused by missing skill. | Training deficit. | REVIEW | risk method | Skill matrix. | Safe execution. | Repeated misuse. | Training-as-default explanation. | A100 | none | A087 | S073 | no | Situational child. | INFERENCE.
A102 | Human factors / cognition | Context-switch cost check | n/a | n/a | n/a | Notice the penalty of too many active threads. | Attention fragmentation. | Cost of switching. | ACTIVE BALL | station support method | WIP evidence. | Focus. | Slowdowns. | Underestimating parallel capacity. | S026 | none | S076 | S074 | no | Supports active-ball discipline. | INFERENCE.
A103 | Project / workflow control | Issue tracker | n/a | n/a | n/a | Keep open work visible and stateful. | Lost tasks. | Work status. | ACTIVE BALL / CONTINUE | station support method | Issue records. | Continuity. | Dropped work. | Tracker as graveyard. | S053 | none | S085 | S073 | no | Operational support. | INFERENCE.
A104 | Project / workflow control | Knowledge base article | n/a | n/a | n/a | Turn reviewed learning into reusable guidance. | Lessons stay trapped in one incident. | Transferable guidance. | PUBLIC / CONTINUE | public/front-door method | Reviewed article. | Memory and onboarding. | Repeated confusion. | Premature codification. | S049 | none | S084 | S082 | no | Useful only after review. | INFERENCE.

============================================================
SECTION 4 - PILE BUILDING

MASTER SEAT CANDIDATES
IDs and names:
S001 Intelligence cycle; S003 Chain of custody; S010 Replication and reproducibility; S015 Clinical pathway; S016 Incident command system; S019 Requirements traceability; S023 STPA / control-system safety; S025 Toyota-style jidoka / stop-the-line; S029 Audit trail; S030 Segregation of duties; S031 Legal discovery; S032 Evidence admissibility; S034 Records retention; S037 Ontology / relationship mapping; S041 Zero trust; S043 Quarantine / sandboxing; S045 Release management; S046 Change control; S051 Human cognitive control; S052 AUTHORITY; S054 FREEZE; S058 JUDGE; S061 SEAL; S063 PROMOTE / PARK / BLOCK; S065 Proof custody; S066 Authority separation; S068 Context preservation; S069 Stop-line authority; S071 No identity promotion; S072 No hidden deletion; S074 Bloat control; S075 One authority boundary; S077 One corrected station order; S078 One evidence rule; S079 One inhibition rule; S080 One action rule; S081 One memory rule; A007 Regression testing; A011 Observability; A019 Last-known-good checkpoint; A027 Measurement-system analysis; A029 Instrument validation; A041 Burden of proof; A042 Rules of evidence; A044 Citation trail review; A045 Source triangulation; A077 Reversibility test; A082 Dependency graph; A084 Provenance; A088 Decision log; A093 Least privilege.
Why they belong:
INFERENCE: each either wins across several algorithms, creates a prerequisite boundary, protects source truth/evidence/authority/action, defines route or verdict flow, or prevents a known high-damage failure mode.
Uncertainty notes:
- S001, S015, S037, S051, A011, and A082 may be better framed as high-level parents rather than seats.
- A007 and A027 are strong in technical contexts but may be domain children if the final system stays more philosophical than operational.
Conflicts or overlaps:
- S003/S065/A084 overlap around custody and provenance.
- S052/S066/S075/A093 overlap around authority.
- S023/S025/S069/S079/A077 overlap around inhibition and safe action.

PARENT METHODS
IDs and names:
S008 Scientific method; S013 Differential diagnosis; S018 Systems engineering V-model; S024 Lean assembly line; S047 Root-cause analysis; S050 OODA loop; S064 CONTINUE; S073 Feedback loop; S082 One feedback rule; A025 Design of experiments; A059 Kaizen; A071 Bayesian updating.
Why:
INFERENCE: they organize families of methods without necessarily being the first irreducible boundary.
Uncertainty:
- S008 and A071 could become reasoning parents only, not whole-system masters.
Overlaps:
- S047 with S013 and A014; S050 with S073/S082/A059.

CHILD METHODS
IDs and names:
S004 Forensic imaging; S021 Fault tree analysis; S036 Faceted classification; S048 5 Whys; A002 Binary search debugging; A003 Delta debugging; A004 Git bisect; A005 Unit testing; A008 Smoke testing; A040 Differential elimination; A063 Pareto analysis; A076 Weighted scoring; A078 Minimum viable test.
Why:
INFERENCE: each is useful after a parent question already exists.
Uncertainty:
- Some may graduate into local standard tools inside a future station, but not into system masters.
Overlaps:
- A002/A003/A004 form a debugging family; S021/S048/A040 form a cause-finding family.

BRIDGE METHODS
IDs and names:
S038 Knowledge graph / link analysis; A034 SBAR handoff; A050 Closed-loop communication; A060 Value-stream mapping; A074 Decision tree; A075 Decision matrix; A080 Taxonomy building; A081 Concept mapping; A096 Process map; A098 Service blueprinting.
Why:
INFERENCE: they connect stages, people, or representations rather than stand alone.
Uncertainty:
- A080 and A096 could become station-support tools if final architecture privileges placement more heavily.
Overlaps:
- S037/S038/A080/A081/A082/A096 are one knowledge-structure cluster.

STATION SUPPORT METHODS
IDs and names:
S026 Kanban and WIP limits; S053 ACTIVE BALL; S055 CAPTURE / COLLECT; S056 INVENTORY; S057 SORT; S059 PLACE / FILE; S060 SAVE; S062 REVIEW / HANDOFF; S067 Role separation; S076 One active ball; A017 Runbooks; A033 SOAP notes; A038 Care plan; A092 Parking lot review; A102 Context-switch cost check; A103 Issue tracker.
Why:
INFERENCE: they make stations usable without themselves deciding the architecture.
Uncertainty:
- S067 may move upward if role purity proves more central than expected.
Overlaps:
- S053/S076/A102/A103 all support focus and current work.

EVIDENCE METHODS
IDs and names:
S002 Crime-scene preservation; S006 Lab accessioning; S007 Lab notebook / electronic lab notebook; S009 Experimental controls; S027 Quality control sampling; S028 Statistical process control; S035 Library cataloging; S039 Archaeological stratigraphy; S040 Field sampling; A006 Integration testing; A012 Log correlation; A013 Distributed tracing; A020 Known-good versus known-bad comparison; A021 Hypothesis testing; A022 Literature review; A023 Systematic review; A024 Meta-analysis; A028 Calibration; A030 Anomaly detection; A031 Outlier review; A032 Sensitivity analysis; A037 Medication reconciliation; A039 Symptom timeline; A046 Witness credibility review; A054 Safety case; A055 Assurance case; A061 Gemba walk; A062 Control charts; A073 Counterfactual analysis; A083 Data lineage; A085 Tombstone register; A088 Decision log; A090 Assumption log; A091 Architecture decision record; A095 Retired-item register.
Why:
INFERENCE: they improve visibility, repeatability, comparability, provenance, or auditability.
Uncertainty:
- Some evidence methods double as authority supports when evidence is used to authorize action.
Overlaps:
- Strong overlap among S003/S029/S065/A083/A084/A088.

AUTHORITY METHODS
IDs and names:
S011 Peer review; S030 Segregation of duties; S041 Zero trust; S045 Release management; S046 Change control; S066 Authority separation; A047 Legal chain of title; A051 Crew resource management; A069 Commander's intent; A087 RACI matrix; A093 Least privilege; A094 Access-control review.
Why:
INFERENCE: they constrain who may decide, review, release, or act.
Uncertainty:
- A051 may stay optional if the system is mostly single-operator.
Overlaps:
- S016/S030/S041/S066/A087/A093/A094 are one authority cluster.

RISK METHODS
IDs and names:
S012 Red-team review; S017 Aviation checklist discipline; S020 FMEA; S022 HAZOP / deviation review; S023 STPA / control-system safety; S025 Toyota-style jidoka / stop-the-line; S042 Threat modeling; S043 Quarantine / sandboxing; A009 Canary release; A015 Fault injection; A016 Chaos engineering; A048 Challenge-response checklist; A052 Swiss cheese model; A053 Barrier analysis; A056 Bow-tie risk analysis; A057 Pre-mortem; A058 Poka-yoke; A066 Kill-chain analysis; A067 Attack tree analysis; A070 Escalation ladder; A079 Pilot program; A089 Risk register; A099 Fatigue check; A100 Operator error analysis; A101 Training gap analysis.
Why:
INFERENCE: they expose, reduce, or contain failure.
Uncertainty:
- Several are domain-specific lenses that should not all become universal obligations.
Overlaps:
- S020/S022/S023/A053/A056 are one barrier/control family.

RECOVERY METHODS
IDs and names:
S044 Version control; S047 Root-cause analysis; S049 Lessons-learned register; A010 Feature flags; A014 Postmortem analysis; A018 Rollback drills; A019 Last-known-good checkpoint; A035 Morbidity and mortality review; A068 After-action review.
Why:
INFERENCE: they help restore function or learn after failure without erasing evidence.
Uncertainty:
- Root-cause work must stay after preservation, never before it.
Overlaps:
- S047/A014/A035/A068/S049 form a recovery-learning chain.

PUBLIC / FRONT-DOOR METHODS
IDs and names:
S083 A tiny front-door launcher; S084 A one-file memory/update pack; S085 A current-ball surface; S086 A station checklist; S087 A proof row template; S088 A blocked-action line; A097 User journey mapping; A104 Knowledge base article.
Why:
INFERENCE: they help ordinary users enter or understand the system.
Uncertainty:
- S084 bridges product and memory; future evidence may move it upward.
Overlaps:
- S083-S088 are one explicit product family.

OPTIONAL SPECIAL LENSES
IDs and names:
S005 Digital forensics triage; S014 Medical triage; S070 Optional triage; A001 Rubber-duck debugging; A036 Case conference; A043 Cross-examination; A064 War-gaming; A065 Scenario planning; A072 Abductive reasoning; A086 Cognitive bias checklist.
Why:
INFERENCE: each is useful in the right context but should not become pressure on every case.
Uncertainty:
- A086 could migrate toward standard review if human-error evidence later proves dominant.
Overlaps:
- S005/S014/S070 are one explicit triage family.

DUPLICATE COUSINS
IDs and names:
S003 Chain of custody <-> S065 Proof custody <-> A084 Provenance; S032 Evidence admissibility <-> A041 Burden of proof <-> A042 Rules of evidence; S047 Root-cause analysis <-> S048 5 Whys <-> A014 Postmortem analysis; S033 Archival appraisal <-> S034 Records retention <-> A085 Tombstone register <-> A095 Retired-item register; S017 Aviation checklist discipline <-> A048 Challenge-response checklist; A054 Safety case <-> A055 Assurance case; S037 Ontology / relationship mapping <-> S038 Knowledge graph / link analysis <-> A080 Taxonomy building <-> A081 Concept mapping <-> A082 Dependency graph.
Why:
INFERENCE: these are close enough that a future install pass should deliberately choose hierarchy and naming rather than silently duplicating them.
Uncertainty:
- Some cousins may be complementary, not redundant, once the master set is tested.
Conflicts:
